StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q41,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Your age,Gender,"Level of Education (highest obtained degree or, if you are still studying, the degree currently following)?",What year did you start studying?,How often do you use the following GenAI platforms? - ChatGPT,How often do you use the following GenAI platforms? - Grammarly AI,How often do you use the following GenAI platforms? - Dall-e,How often do you use the following GenAI platforms? - Midjourney,How often do you use the following GenAI platforms? - Gemini,How often do you use the following GenAI platforms? - Brainly,How often do you use the following GenAI platforms? - Sparrow,How often do you use the following GenAI platforms? - GraphGPT,How often do you use the following GenAI platforms? - Humata,How often do you use the following GenAI platforms? - ChatPDF,How often do you use the following GenAI platforms? - BioGPT,How often do you use the following GenAI platforms? - Quillbot,What are other Generative AI platforms you like to use? (optional),How often do you use ChatGPT for the following purposes... - Brainstorming,How often do you use ChatGPT for the following purposes... - Asking for explanations for topics & concepts,How often do you use ChatGPT for the following purposes... - Asking for explanations for methodologies,How often do you use ChatGPT for the following purposes... - Creating study plans/schedules,How often do you use ChatGPT for the following purposes... - Summarising texts/articles,How often do you use ChatGPT for the following purposes... - Pointing out key concepts in texts/articles,How often do you use ChatGPT for the following purposes... - Grammar & spell-checking,How often do you use ChatGPT for the following purposes... - Improving writing style,How often do you use ChatGPT for the following purposes... - Looking up structures of text-types,How often do you use ChatGPT for the following purposes... - Writing E-mails,How often do you use ChatGPT for the following purposes... - Finding sources,How often do you use ChatGPT for the following purposes... - Cheating during multiple choice exams,How often do you use ChatGPT for the following purposes... - Cheating during written exams through copy & pasting output,How often do you use ChatGPT for the following purposes... - Cheating during written exams through paraphrasing output,How often do you use ChatGPT for the following purposes... - Solving Calculations,"How often do you use ChatGPT for the following purposes... - Select ""Always""",How often do you use ChatGPT for the following purposes... - Generating Code,How often do you use ChatGPT for the following purposes... - Making up fake sources,How often do you use ChatGPT for the following purposes... - Copy & pasting output into essays,How often do you use ChatGPT for the following purposes... - Paraphrasing output into essays,How often do you use ChatGPT for the following purposes... - Copy & pasting whole essays,For what other purposes do you use ChatGPT? (optional),To what extent do you agree with following motivations to use ChatGPT? - Saving time,To what extent do you agree with following motivations to use ChatGPT? - Reducing stress,To what extent do you agree with following motivations to use ChatGPT? - Reducing anxiety,To what extent do you agree with following motivations to use ChatGPT? - Improving quality of work,To what extent do you agree with following motivations to use ChatGPT? - Enhancing creativity,To what extent do you agree with following motivations to use ChatGPT? - Minimizing effort,To what extent do you agree with following motivations to use ChatGPT? - Gaining new insights,To what extent do you agree with following motivations to use ChatGPT? - Poor time management,Are there any other reasons that motivate you to use ChatGPT? (optional),"Please indicate on the items below to what extent you agree or disagree to the following statements. Please remember, your answers remain anonymous and confidential. - During exams I use signals to fetch answers from my friends.","Please indicate on the items below to what extent you agree or disagree to the following statements. Please remember, your answers remain anonymous and confidential. - I use prohibited things like hidden notes, calculators, and other electronic devices during exams.","Please indicate on the items below to what extent you agree or disagree to the following statements. Please remember, your answers remain anonymous and confidential. - I interchange assigned books with other students to get better grades in exams.","Please indicate on the items below to what extent you agree or disagree to the following statements. Please remember, your answers remain anonymous and confidential. - During exams, I solve answers on paper which I hand over to my classmates.","Please indicate on the items below to what extent you agree or disagree to the following statements. Please remember, your answers remain anonymous and confidential. - During exams I try to copy answers from other students.",Please indicate on the items below to what extent you agree or disagree to the following statements. - I copy summaries of papers/articles/texts & claim it was written by me.,"Please indicate on the items below to what extent you agree or disagree to the following statements. - For submitting assignments, I copy and change some sentences and phrases from other sources.",Please indicate on the items below to what extent you agree or disagree to the following statements. - I use online resources in my personal assignments/projects without citing the author.,Please indicate on the items below to what extent you agree or disagree to the following statements. - For personal comments I make use of scientific information on the internet and claim it was written by me.,Please indicate on the items below to what extent you agree or disagree to the following statements. - It is often hard for me to make sense of things I need to learn.,"Please indicate on the items below to what extent you agree or disagree to the following statements. - Much of what I learn is incoherent, which means that I cannot connect it to a greater picture.",Please indicate on the items below to what extent you agree or disagree to the following statements. - I put a lot of effort into my studying.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I organise my study time carefully to make the best use of it.,"Please indicate on the items below to what extent you agree or disagree to the following statements. - Select ""Strongly disagree""","Please indicate on the items below to what extent you agree or disagree to the following statements. - I try to relate new materials, as I am reading it, to what I already know on that topic.",Please indicate on the items below to what extent you agree or disagree to the following statements. - I look at evidence carefully to reach my own conclusion about what I'm studying.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I prefer to study by myself.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I learn better if I study by myself.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I am competitive when it comes to my grades.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I like to compete with other students.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I learn from practical tasks better than from theoretical ones.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I learn better when I am involved in a task.,"Please indicate on the items below to what extent you agree or disagree to the following statements. - I study better through visual aids (e.g., whiteboards, power points).",Please indicate on the items below to what extent you agree or disagree to the following statements. - I study better when I create a mental picture of what I read or hear.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I learn better when I consider the details of a subject more than its whole.,Please indicate on the items below to what extent you agree or disagree to the following statements. - I learn better when I remember specific details of subjects.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID29""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID31_7""}","{""ImportId"":""QID31_8""}","{""ImportId"":""QID31_9""}","{""ImportId"":""QID31_10""}","{""ImportId"":""QID31_11""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID38_7""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID40_5""}","{""ImportId"":""QID40_6""}","{""ImportId"":""QID40_7""}","{""ImportId"":""QID40_8""}","{""ImportId"":""QID40_9""}","{""ImportId"":""QID40_10""}"
2024-05-24 11:37:15,2024-05-24 11:46:17,0,100,541,1,2024-05-24 11:46:17,R_8Jv9AjpqPUtM9ON,anonymous,EN,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,5,4,3,2,2,5,3,4,,2,4,1,1,2,1,4,2,1,2,2,3,2,1,4,2,5,5,3,1,3,4,4,4,4,2
2024-05-24 12:19:33,2024-05-24 12:25:37,0,100,364,1,2024-05-24 12:25:38,R_8pSvwiOFdiDgoqY,anonymous,EN,1,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,1,4,3,1,2,1,1,1,1,1,1,1,5,1,1,3,3,3,,5,5,4,2,2,5,2,5,,4,4,2,1,2,2,4,4,1,4,4,4,1,1,3,4,5,5,4,4,5,5,4,5,2,4
2024-05-24 12:19:39,2024-05-24 12:27:59,0,100,500,1,2024-05-24 12:28:00,R_4t9YtO5zaMdA5R0,anonymous,EN,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,5,4,4,4,4,4,4,3,,1,1,1,1,1,1,1,1,1,2,3,3,2,1,3,4,5,5,4,3,3,3,3,4,3,3
2024-05-24 12:15:12,2024-05-24 12:32:20,0,100,1028,1,2024-05-24 12:32:21,R_2NntGMf0V7j0EX8,anonymous,EN,2,1,2,7,2,1,1,1,1,1,1,1,1,1,1,1,DeepL,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,generating ideas for sujets for brainstorming,5,4,4,1,5,5,1,4,,1,1,1,1,1,1,4,1,1,1,1,2,2,1,5,5,3,2,1,1,5,5,4,2,1,2
2024-05-24 12:19:13,2024-05-24 12:32:46,0,100,812,1,2024-05-24 12:32:46,R_43fEAyoYRwsNOlr,anonymous,EN,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,,3,4,4,4,3,4,4,4,4,3,4,4,3,3,3,5,4,2,4,3,2,Travel plan,4,3,3,4,3,4,4,4,,4,3,4,4,3,2,3,4,4,4,4,3,3,1,3,3,5,5,4,2,3,4,4,4,3,4
2024-05-24 12:21:09,2024-05-24 12:35:02,0,100,832,1,2024-05-24 12:35:02,R_8UYnEzdMuQ0sY7a,anonymous,EN,2,2,1,4,4,4,1,1,1,1,1,1,1,1,1,2,,3,5,5,1,2,3,1,5,5,5,3,2,2,1,3,5,1,1,1,1,1,I use it like google,2,4,3,3,2,4,4,2,,3,1,1,1,1,1,1,1,1,2,2,4,1,1,3,1,3,3,2,1,5,5,5,2,2,2
2024-05-24 12:25:45,2024-05-24 12:38:39,0,100,774,1,2024-05-24 12:38:40,R_8iW0Ju71VoEy9hN,anonymous,EN,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,4,4,2,1,1,4,4,3,,1,1,1,1,1,1,1,1,1,2,1,4,4,1,5,5,5,5,2,2,3,4,3,5,5,5
2024-05-24 12:45:52,2024-05-24 12:53:00,0,100,427,1,2024-05-24 12:53:00,R_8KHBMlutRht5324,anonymous,EN,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,5,1,1,1,2,1,"I let it write short storys about funny situations, so that I have something to laugh about. But even for that, I use it rarely.",3,4,4,2,4,2,4,3,,1,2,1,2,1,1,1,1,1,2,2,4,3,1,5,5,4,5,5,4,3,3,3,3,3,4
